#Sumatra CSVExporter
#Sun Jun 19 00:13:52 CEST 2011
time,setv_x,setv_y,actualv_x,actualv_y,x,y,deltaT
289511725620509,-10.000053,-3.0629196,0.1690402,0.0054679085,2891.4346,825.11224,0.020004766061902046
289511746633455,-10.000052,-3.0548396,0.16255084,-4.215324E-4,2894.335,824.7945,0.02099592611193657
289511766631331,-10.000054,-3.0523217,0.15534708,-0.0031864024,2899.839,823.7176,0.020014086738228798
289511787620369,-10.000052,-3.0136724,0.13892312,-0.02253987,2907.273,820.4116,0.020992280915379524
289511808624806,-10.000052,-3.0021005,0.13198298,-0.0285566,2909.6228,819.2999,0.02099592611193657
289511828622277,-10.0000515,-2.9962592,0.12991072,-0.0314655,2914.6172,817.9821,0.020005980506539345
289511848637983,-10.0000515,-3.0031953,0.12799752,-0.028384136,2917.1758,817.7339,0.02001570537686348
289511870274153,-10.0000515,-3.0037055,0.12305325,-0.028189883,2924.3838,816.2269,0.02161104790866375
289511890646856,-10.000052,-2.9999804,0.11944243,-0.030057335,2928.833,814.79675,0.020391343161463737
289511911613202,-10.000052,-2.9950747,0.114368364,-0.03252027,2930.907,813.8793,0.02096755988895893
289511931665783,-10.000053,-2.9914088,0.10753255,-0.03412071,2934.468,812.35004,0.020045287907123566
289511952073739,-10.0000515,-2.978466,0.09924799,-0.039747927,2940.1086,809.42975,0.020414035767316818
289511972418887,-10.000052,-2.9730122,0.09378764,-0.041749865,2943.444,807.5652,0.02034514769911766
289511992638418,-10.000052,-2.966403,0.09105927,-0.044345204,2945.2302,806.3926,0.020214667543768883
289512013695532,-10.0000515,-2.959658,0.08604515,-0.04667175,2948.3333,804.3008,0.021059952676296234
289512039626600,-10.000051,-2.9447887,0.0776534,-0.052394476,2952.86,800.54834,0.02590189129114151
289512059682828,-10.0000515,-2.9456003,0.06712826,-0.050768018,2954.684,798.8164,0.020072031766176224
289512079814021,-10.0000515,-2.9297462,0.06646481,-0.0570764,2956.4941,796.7568,0.02014821209013462
289512100661638,-10.00005,-2.914457,0.064295016,-0.06258993,2959.1516,793.6874,0.020849643275141716
289512120957350,-10.000051,-2.8897214,0.061261095,-0.07186483,2963.2427,788.4352,0.02028193324804306
289512141697179,-10.00005,-2.8823752,0.0609227,-0.07308866,2964.687,786.7073,0.020753201097249985
289512162650558,-10.00005,-2.8670166,0.06365834,-0.077695034,2967.6084,783.23364,0.020954187959432602
289512182770000,-10.00005,-2.8516693,0.067940556,-0.082021214,2970.7327,779.65265,0.020115796476602554
289512203772005,-10.00005,-2.8454745,0.06943583,-0.08209763,2972.448,777.7896,0.02100484073162079
