#Sumatra CSVExporter
#Sat Jun 18 11:42:37 CEST 2011
time,setx,sety,setv,actx,acty,actv
243811010761354,0.0,0.5,0,0.0011227812,-0.0029226467,1.6870143
243811011263823,0.0,0.5,0,0.0011236705,-0.0029223047,1.6870824
243811034392814,0.0,0.5,0,0.0011484656,-0.0029126497,1.688975
243811037474896,0.0,0.5,0,0.0017187687,-0.0031951696,1.6859199
243811057272596,0.0,0.5,0,0.0017444284,-0.0031812328,1.6870809
243811063215917,0.0,0.5,0,0.0033568095,-0.0043286434,1.6871938
243811080505727,0.0,0.5,0,0.0033861538,-0.0043057264,1.6881478
243811090172995,0.0,0.5,0,-0.0037172064,-8.248564E-4,1.6769321
243811103646469,0.0,0.5,0,-0.003711933,-8.482706E-4,1.6763768
243811116662857,0.0,0.5,0,-0.0019091994,8.725442E-4,1.6720289
243811126906344,0.0,0.5,0,-0.0019135312,8.630022E-4,1.6712577
243811143207424,0.0,0.5,0,-0.004778118,2.5986286E-5,1.6761616
243811150123267,0.0,0.5,0,-0.004778176,1.0947668E-5,1.676005
243811170335503,0.0,0.5,0,-0.0013244079,7.1849005E-4,1.6822879
243811174638910,0.0,0.5,0,-0.0013256054,7.162783E-4,1.6824262
243811196440004,0.0,0.5,0,-0.0075212503,0.0012658315,1.6878169
243811201078931,0.0,0.5,0,-0.0075217634,0.0012627773,1.6878918
243811221888458,0.0,0.5,0,-0.0075329086,0.0011944985,1.6895183
243811222376745,0.0,0.5,0,-0.0045826305,7.919477E-4,1.6857435
243811242862908,0.0,0.5,0,-0.0045894133,7.5164594E-4,1.6866206
243811248666024,0.0,0.5,0,-0.0037092527,6.465874E-4,1.6860038
243811265877627,0.0,0.5,0,-0.003713926,6.1917905E-4,1.6866336
243811279798866,0.0,0.5,0,5.474927E-4,-3.2813477E-4,1.6758354
243811289012291,0.0,0.5,0,5.495946E-4,-3.246021E-4,1.6750507
243811301635213,0.0,0.5,0,8.5604284E-4,8.965025E-4,1.6714394
243811312206116,0.0,0.5,0,8.514875E-4,9.0083026E-4,1.6705546
243811327990138,0.0,0.5,0,-4.3762522E-4,-0.001400303,1.6706868
243811336599789,0.0,0.5,0,-4.326641E-4,-0.0014018437,1.6701547
243811354671263,0.0,0.5,0,-3.0076804E-4,-0.0034489543,1.6810071
243811359334098,0.0,0.5,0,-2.9436592E-4,-0.0034495064,1.681156
